rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
1161,6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
1173,6599919,K00858.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1174,6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
1176,6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1182,6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
1191,7031517,K00871.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1198,7270230,K00876.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1209,7377033,K00882.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1212,7434875,K00884.02,Kepler-247 d,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0
1218,7552344,K00888.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
1225,7708215,K00894.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
1226,7767559,K00895.01,,FALSE POSITIVE,FALSE POSITIVE,0.2280,0,1,0,0
1246,8180063,K00905.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
1255,8256049,K00909.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
